cnms,frequency,total_salecs
"Ethan Allen Retail, Inc.",1,2.586
"HMDmd, Inc.",4,2.585
Sazka a.s.,1,2.583
"Cb&s advertising agency, inc.",1,2.571
Burlington Coat Factory of Texas Inc.,3,2.5700000000000003
Siemens Gmbh,2,2.568
SYNGENTA AG  -ADR,4,2.567
Galderma S.A.,3,2.5669999999999997
"Shenzhen Global Digital Co., Ltd",1,2.565
Hilton Grand Vacations Company  LLC,3,2.562
SongYuanShi Heating Company,1,2.56
Office of Naval Research,1,2.559
"Alta devices, inc.",3,2.555
"Hunan Hori New Materials Co., Ltd.",1,2.555
TSAV,1,2.553
Clinical/medical providers,1,2.553
Boxout,1,2.55
Tri-Ed Distribution,2,2.528
KOBO Inc.,2,2.523
CVS CORP,1,2.517
Holotek Technology Co Ltd,1,2.514
Flextronics,1,2.514
International distributor markets excluding Japan,1,2.514
"Energy Transfer Crude Marketing, LLC",3,2.513
Innovative Government Solutions,1,2.51
Chengdu Jinjiang New Vision Training School,3,2.4939999999999998
Youon Technology Co Ltd,1,2.493
Associated Wholesale Grocers,3,2.492
DOT Foods Inc.,1,2.49
Allen,1,2.488
Clark Nexsen,1,2.487
Oxford University Innovation Limited,1,2.483
Garena,2,2.474
Syngenta,2,2.472
Fluid Technologies,1,2.47
"Cenegenics Product and Lab Services, LLC",3,2.4699999999999998
KOHLER CO,1,2.463
General Nutrition Corp,3,2.451
Taiwan and Belgium,1,2.451
"Public Financial Management, Inc.",1,2.448
User Friendly Media,4,2.443
Mojie,1,2.437
GS Engineering,1,2.435
"Other U.S. Government, State and Local Government",3,2.433
Di-Tek Corporation,1,2.433
Hexagon Purus ASA,1,2.423
Appalachian Oil & Gas Co Inc,2,2.415
Clearlake,1,2.415
Cyber authentication,1,2.414
Nexlink,1,2.413
Hilton Worldwide Holdings Inc,4,2.399
Service West Inc.,3,2.3890000000000002
"Lantheus Omega, LLC",1,2.382
"Blue Stream Communications, LLC",1,2.381
"Miles Media Group, LLC",1,2.38
"Golin-Harris Communications, Inc.",1,2.375
Independence,1,2.375
"Huaxia Hanhua Chemical Equipment Co., Ltd.",1,2.367
Citigroup,2,2.364
BTV,1,2.341
Disney Interactive,1,2.335
Ohyama Co. Ltd,1,2.335
General Nutrition Cos  -CL A,2,2.333
Merck Serono GmbH,1,2.328
Siemens AG  -ADR,3,2.324
"Vistage Worldwide, Inc.",2,2.308
"Leukemia & Lymphoma Society, Inc",2,2.3000000000000003
E4D Technologies LLC,2,2.3
Metronet,1,2.3
"Tecom Industries, Inc",1,2.298
West Virginia,3,2.2960000000000003
"Yunnan Dexin Zhiye Co., Ltd.",1,2.279
Life Molecular Imaging,1,2.278
Immunovia AB,1,2.275
Vitamin Shoppe Industries Inc,2,2.274
Contract diagnostics,6,2.269
Eaton Corporation plc,1,2.268
People's Republic of China and Singapore,2,2.266
CIC Limited,4,2.2560000000000002
Sichuan Anxian Yinhee Construction and Chemical Co,2,2.25
Wine Industry,1,2.247
COX COMMUNICATIONS INC,2,2.236
Mid Ohio Oncology,1,2.233
Arcellx,1,2.231
Fisica Inc.,1,2.23
"Zavanna, LLC",1,2.225
Social Security Administration,4,2.216
Redlen Technology  Inc,2,2.2110000000000003
"Dendreon Pharmaceuticals, LLC",1,2.208
"Advanced Media Technologies, Inc",1,2.206
HanX,2,2.201
The Bayer Group,4,2.2
C.H.S. Inc.,1,2.2
Biopharma Customers,1,2.2
Tracon,2,2.2
"Bionic Sight, LLC",1,2.197
Covance CRU Inc.,3,2.194
ClearWire US LLC,1,2.192
Electronic Instrument Manufacturer,2,2.191
Digital Widget Factory,2,2.1870000000000003
Klenco,4,2.182
Axia Medical Solutions,1,2.175
Kirloskar Technologies (P) Ltd,2,2.162
Juvenile Diabetes Research Foundation,2,2.16
Fujitsu,1,2.16
"Medicalnext Co., Ltd.",1,2.156
3 Health Insurance companies,1,2.149
Merge Healthcare Solutions Inc.,1,2.144
FB Health S.p.A,4,2.141
"CML Exploration,LLC",3,2.14
Cardiome Pharma Corp,2,2.13
Datangh International Fuxin Coal Gas Industry Co.,1,2.122
"Sante Partners, LLC",1,2.114
The China Machinery Industry Construction  Heat Ex,1,2.111
UNICEF,1,2.11
"Motorola, Inc.",1,2.106
New Gulf Resources,3,2.105
"Cellular Longevity, Inc",1,2.1
Digital Distribution,1,2.1
Jeff Burgess and Associates Inc,1,2.1
Zellers,1,2.1
BICO Group AB (publ),4,2.098
Bayer HealthCare,1,2.091
National Cancer Institute,2,2.086
"Genco I, Inc",1,2.082
Janssen Pharmaceutical Company,2,2.079
IOR Energy,1,2.078
Shenyang Air Blower Group,1,2.073
"Jiangsu Biyaqiao Motorcycle Sales Co., Ltd",1,2.069
ChubeWorkx Gurnsey Limited,1,2.052
Amway Global,3,2.047
Boehringer Ingelheim International GMBH,1,2.043
"Knight Aerospace, Inc",2,2.043
OUE Ltd,2,2.035
"Gold Medal Group, LLC",1,2.034
Muzak LLC,1,2.034
Antalpha Technologies Limited,4,2.033
"Amyris Biotechnologies, Inc.",2,2.031
Care Meridian,1,2.031
Heating Solutions International Inc,1,2.027
"Chevron USA, Inc",1,2.023
"Greentech Automotive, Inc",1,2.016
Agape S.E.A. Sdn Bhd.,2,2.012
Ideahom Centre,1,2.005
Terumo Corp,2,2.005
CMS Medical Venture Investment,1,2.0
Tufts University,1,2.0
"PellePharm, Inc",1,2.0
"Nobelpharma Co., Ltd",1,2.0
Hydrofarm,4,1.9940000000000002
TATA,1,1.994
"Ludi Energy Group Co., Ltd.",2,1.993
Golden Profit Technology,1,1.992
Transoft,1,1.988
Sohnen Enterprises,2,1.988
"SC Academy Holdings, Inc.",1,1.982
ALE USA Inc.,1,1.981
"Black Elk Energy Offshore Operations, LLC",4,1.9769999999999999
Department of Energy,3,1.9669999999999999
Perseus,1,1.966
Digital Authentication,1,1.964
Certisign Certificadora Digital S.A.,1,1.962
Bristol-Myers Squibb Company & Pfizer Inc.,1,1.958
Corvias,1,1.956
Dubai,3,1.951
"T. Rowe Associates, Inc.",4,1.946
"Markel Midwest, Inc.",1,1.932
Australia & New Zealand,2,1.9260000000000002
Health Management Associates Inc.,2,1.925
ROCHE HOLDINGS LTD  -ADR,2,1.917
Ge Diao Ping Yuan,3,1.915
United States Agency for International Development,2,1.9
Tailwind Technologies,2,1.896
Fuzhou Melbourne Polytechnic,1,1.892
Shipping liners,4,1.887
Aura Commercial LLC,2,1.884
BioLexis Pte. Ltd.,1,1.875
AffaMed Therapeutic Limited,3,1.8719999999999999
Fiore Management LLC,2,1.867
TAIHO PHARMACEUTICAL,1,1.864
SIETCO,1,1.86
California Institute for Regenerative Medicine,1,1.857
"Tenet Healthsystems Medical, Inc.",2,1.846
Cox Media Group,2,1.8450000000000002
"Jiangxi Zhensen Agricultural Technology Co., Ltd",1,1.844
H.T. Hackney Co.,1,1.843
"CEEG Holding Co., Ltd.",2,1.84
BLUE CROSS BLUE SHIELD ORGANIZATION,1,1.839
"Electrify America, LLC",1,1.834
"Guangzhou Shengzhuo Intelligent Technology Co., Lt",1,1.831
Isu Abxis Co Ltd,4,1.824
"Communications Test Design, Inc.",1,1.819
"Macy's East, Inc.",4,1.8130000000000002
"State Power Corp Jiuquan Heating Co., Ltd",1,1.812
The Tonghua Nanhen Jinseng Co. Ltd,2,1.811
Malaria Program,2,1.807
"Farmers Insurance Hawaii, Inc.",1,1.807
Bedrock Energy Partners,4,1.805
Contract Research,2,1.803
"Fitness Alliance, LLC",1,1.8
Zhuhai Yintong Energy,1,1.794
Chong Kun Dang Pharmaceutical Corp,4,1.79
Premier Healthcare,1,1.788
"Exp US Services, Inc.",2,1.786
Copa Corporation Inc,1,1.782
Texas Health Resources,1,1.778
Bechtel Corporation,2,1.776
"Caterpillar Logistics, Inc",1,1.776
U.S. Federal Governenment,4,1.77
Spirtas Worldwide,1,1.77
Flextronics Corporation,1,1.766
"Diagnostic Laboratory Services, inc.",1,1.763
US Foodservice,1,1.762
Plumbline Life Sciences Inc,4,1.76
Pfizer Animal Health,2,1.76
Bashas' Inc,2,1.759
Telephonics Corp,1,1.757
"Jacobs Field Services North America, Inc.",1,1.757
"Pharmascience, Inc.",2,1.754
Hajoca Corp,3,1.753
"Relay IP, Inc.",1,1.75
Nile Ltd,1,1.749
Changan Automotive,2,1.747
Aguettant,1,1.744
Bashas' Inc.,2,1.7429999999999999
Hankins & Anderson,3,1.717
TSK,1,1.713
General Electric,1,1.713
"Liaoning Huiming International Trade Co., Ltd.",1,1.711
Artech,4,1.709
Kaiser Foundation Health Plan,1,1.709
Event Attendees,1,1.703
Frontier Biotechnologies Inc,2,1.7
"SC Academy Holdings, inc.",1,1.697
"Advanced Composites, Inc.",1,1.696
Taiwan Distributor,1,1.695
Securitas Security Services,1,1.694
C2 Hosting,2,1.6920000000000002
"Charge Bliss, Inc",1,1.692
AZUR HOLDINGS INC,3,1.6840000000000002
Dominion Resources Inc.,1,1.682
DHL,2,1.679
Holly Refining,2,1.6760000000000002
Telecommunication providers,1,1.673
Electric utilities,1,1.67
Bravo Markets Pty Ltd,1,1.655
Leukemia & Lymphoma Society,2,1.65
Sheridan Production,4,1.6400000000000001
Facilities Maintenance,1,1.637
"Beijing Sogou Technology Development Co.,Ltd.",1,1.635
Jiangxi Zongjia Haotian Technology Company Ltd. (?,1,1.628
You Ming Huei Co.Ltd,1,1.624
"Shin-Etsu Chemical Co., Ltd",1,1.621
"Vitaeris, Inc.",1,1.619
"Divergent Technologies, Inc",1,1.613
Saudi Arabia and Canada,1,1.602
Lummy HK,1,1.6
SSCG Media Group,1,1.6
"Sabine Oil & Gas, LLC",1,1.597
Classic Corp,1,1.596
Iluminar Lighting,1,1.594
"Tianjin Chengkai Property Co., Ltd.",1,1.591
Mosaic Company (The),1,1.591
Biogen Idec Inc-Proforma,2,1.587
Hemp,1,1.583
Telecom,3,1.581
Friends of Team Academy,2,1.576
C&S Wholesale Grocers,1,1.574
"Texla Energy Management, Inc.",2,1.568
National Institute of Allergy and Infectious Disea,1,1.556
Global Aerospace Inc.,1,1.556
Heilongjiang Nengjiang Hongyu Logistics Company,1,1.547
Private Label Distributors,2,1.542
HCS Group GmbH,2,1.54
"UNO Healthcare, Inc",7,1.534
"XenaCare Holdings, Inc.",2,1.529
Tencent Holdings Ltd,1,1.528
General Chemical Corp,2,1.525
H-Mart,1,1.524
Auris Health Inc.,2,1.521
Humanitas Hospital,1,1.519
Kiire,2,1.518
"PODS Enterprises, LLC",1,1.515
Guilin Sanjin Pharmaceutical Co Ltd,1,1.511
"IDOC, LLC",1,1.51
PureTek Corporation,1,1.504
Research Institution A,1,1.504
Career Education Corp,1,1.502
Five Prime,1,1.502
MetroNet,1,1.5
"Sentynl Therapeutics, Inc.",1,1.5
Alcatel-Lucent USA Inc.,1,1.495
Electric Vehicles International,1,1.494
GST,1,1.489
LifePoint Inc.,3,1.489
Novellia,1,1.488
"Fuzhou Shenpeng Technology Co., Ltd",1,1.487
L-3 Communications,9,1.486
Libya,1,1.485
Mei Da Shipping Co. Limited,1,1.481
Egypt LNG,2,1.4620000000000002
Powder House,3,1.4609999999999999
The Tremont Group,1,1.454
"Acosta, Inc.",1,1.453
FLO TV,1,1.452
Lg Corp,5,1.439
"Beijing Borui Siyuan Network Technology Co., Ltd.",1,1.439
Goertek Inc,1,1.437
WPT Global,1,1.428
"Aesculap, Inc.",1,1.426
"Jilin Xerox Business Machine Co., Ltd",1,1.425
Telephonics Corp.,1,1.425
IHOP CORP,1,1.419
BMEB Services LLC,1,1.415
"S***,Inc.",1,1.412
Gene Company Ltd,3,1.41
PCL Family of Companies,1,1.409
Alcon Laboratories Inc,2,1.408
Guardian Life Insurance Company of America (The),1,1.407
Intrafusion Holding Corp.,1,1.401
MEDIMMUNE INC,2,1.4000000000000001
Konica Minolta Holdings Inc,1,1.4
Technology solutions,1,1.397
Power-Save of California,1,1.394
"Benxi Yige Animation co., Ltd",1,1.394
"Compound Solutions, Inc.",2,1.39
"AffaMed Therapeutics, Inc",2,1.3860000000000001
"Guangxi Wancang Technology Group Co., Ltd",1,1.383
"Laboratorios Liomont, S.A.",1,1.382
Magellan Holdings Limited,3,1.38
Exito Media,3,1.3780000000000001
Petroleum Services,2,1.367
Service,1,1.365
LS-Nikko Copper,1,1.363
Toray Industries Inc,3,1.36
SMRT Corp Ltd,1,1.349
"Wuhan Taoping Media Co., Ltd.",1,1.349
POLMO,1,1.346
Biogts Green Energy Co Limited,1,1.341
Yellow River Securities Limited,1,1.336
Leukemia & Lymphoma Society (LLS),2,1.331
Macau,3,1.323
BenQ Corporation,1,1.32
Shenzhen Cloud Computing Pte Ltd,2,1.315
Texican Natural Gas Company,1,1.305
"Low T Center, Inc.",1,1.296
Ejectt Inc,1,1.294
INFOSPACE INC,1,1.293
ECI Telecom Ltd,3,1.288
"Reprise Biomedical, Inc.",4,1.283
"Qingdao Fujing Agricultural Development Co.,Ltd.",1,1.277
BMG Rights Management,3,1.272
"Binhai Land Purchase Co., Ltd.",1,1.272
38 customer,1,1.27
"Mcnair Medical Institute, llc",1,1.267
GOLDEN CORRAL CORP,3,1.265
LP Building Products,2,1.264
Anhui Qinggong International Trading Co. Ltd.,1,1.257
Land & Resources,2,1.252
Dermelix,2,1.252
BlueRock Therapeutics,1,1.25
Commercial Fleet,1,1.248
Marriott Hotels,1,1.246
CenterPoint Energy Service Company LLC,1,1.243
OK,3,1.243
Meridian Restaurants,1,1.241
Access Network Installations,1,1.241
Dragon Boat Biopharmaceutical (Shanghai) Limited,1,1.24
"Relieve genetics, inc.",2,1.239
"Shenzhen Dongfang Shangcheng Trading Co., Ltd.",1,1.236
Contractors of Defense Logistics Agency,1,1.224
First National Bank Ltd,2,1.222
Lees Pharmaceutical Holdings,2,1.2209999999999999
Beijing MINGHESHIJI Media Ltd.,1,1.201
"Recordati Ireland, Ltd",1,1.2
"Tiburon, Inc.",5,1.196
"JAB Industries, Ltd",1,1.193
Third-party e-commerce,1,1.191
Helena Chemicals,1,1.188
TJX Companies Inc-Old,1,1.186
The Latino Media Services (LMS) group,1,1.186
"Mastin & Cain Properties, LLC.",1,1.181
Yarrow,2,1.1800000000000002
"Don Brown Bus Sales, Inc.",1,1.179
"Magna New Mobility USA, Inc.",1,1.178
"Industrial Safety Technologies, LLC",1,1.164
"R-Pharm, CJSC",5,1.149
Zhejiang Kewoyi International Trading Limited,1,1.141
Easy Smart Group Holdings Limited,1,1.141
Environmental Services,2,1.14
Woodbine Acquisition,2,1.138
Legend,4,1.1320000000000001
United States Army Medical Research Acquisition,1,1.129
Epic Boats,1,1.127
Gawk Inc,3,1.124
HP Enterprise Services UK Ltd,1,1.122
The Auto Club Group,1,1.119
"Acrotech Biopharma, LLC",4,1.1139999999999999
ID,3,1.1099999999999999
Garden Foods,1,1.109
Trustcom,1,1.108
"Gritstone Oncology, Inc",1,1.105
"Enterprise Crude Oil, LLC.",1,1.103
BJ Services,1,1.102
Health Diagnostic Laboratories,1,1.101
"Organ Recovery Systems, Inc.",1,1.1
"Illumitex, Inc.",2,1.1
ChubeWorkx Guernsey Limited,1,1.099
KitASP,2,1.097
Bonneville Power Authority,2,1.0939999999999999
LMP International Limited,1,1.092
ALSA Grant,1,1.085
DEVRY INC,1,1.08
"Radionetics Oncology, Inc",1,1.078
Concepts,2,1.077
Micronas Semiconductor Holding AG,1,1.072
"Gas Natural Service Company, LLC.",1,1.069
Hobby Lobby,1,1.063
Ewopharma AG,3,1.062
"Hololens Technology Co., Ltd.",1,1.061
Vista Global Biotech Limited,2,1.061
UR Association,3,1.061
"Novartis Institutes for Biomedical Research, Inc.",1,1.054
Cypress Bioscience Inc,2,1.054
Chideo,2,1.043
ZKW Group GmbH,1,1.042
Keystone Automotive Industries Inc,9,1.0390000000000001
Redeban S.A,1,1.035
"Gold Medal Holdings, Inc.",1,1.032
U.S. Army and the National Institutes of Health,1,1.03
Ferring Pharmaceuticals Inc,1,1.029
CANbridge Life Sciences Ltd.,1,1.028
Chesapeake Operating,2,1.027
Bosch,2,1.024
"Philips Holding USA, Inc.",1,1.021
Intrexon Corp,2,1.018
AIR LIQUIDE SA  -ADR,3,1.018
ATC Aerospace,1,1.006
Youpin Information Technology Co. Ltd.,1,1.006
Alabama,1,1.006
Lepu Biotech Co,2,1.004
"New Life Therapeutics PTE, LTD",4,1.001
Kuva Labs,1,1.0
Cutia Therapeutics (HK) Limited,1,1.0
Aishang TV,1,1.0
"JCR Pharmaceuticals Co., Ltd.",1,1.0
AUSPICIOUS APEX PTE. LTD,1,1.0
QID Technologies LLC,1,1.0
Pierrepont Therapeutics Inc,1,1.0
EOC Pharma,1,1.0
Cipla Technologies LLC,1,1.0
MARTEX,1,0.997
Government/Military,1,0.995
Colorescience Inc.,1,0.994
"Marshall Hotels and Resorts, Inc",3,0.994
ND,3,0.9930000000000001
Hubei Qiangda Packaging Industry Co. Ltd.,1,0.991
Greystone Housing Impact Investors LP,1,0.991
Other Asia Countries,2,0.99
Raley's,1,0.99
Sports Authority Inc. (The),3,0.99
"GulfMark Energy, Inc.",5,0.988
Smith Production,1,0.984
"Novartis Vaccines and Diagnostics, Inc",2,0.982
MELDEX INTL PLC -ADR,1,0.981
ERICSSON (L M) TEL  -ADR,1,0.976
Global-E US Inc,1,0.976
Clavis,1,0.973
Access Business Group LLC,1,0.972
GRAMERCY CAPITAL CORP,2,0.97
Saint Andrews Golf Shop,6,0.9690000000000001
Devon Energy Corp-Pro Forma,1,0.968
PP Aviation Corporation,2,0.9670000000000001
Minerva Semiconductor Corp. Limited,1,0.967
Media Broadcast,1,0.966
CENTRAL PURCHASING LLC,1,0.962
Aero Express,2,0.954
Lee?s Pharmaceutical (HK) Ltd,1,0.951
"Kermode Biotechnologies, Inc",2,0.95
Datatel Resources Corporation,4,0.947
Zhangjiajie Zhenghang Commercial Partnership,1,0.944
"BioMax, Ltd.",2,0.938
Kyowa Corporation,1,0.925
Regulus Solar LLC,1,0.92
Seba Distribution LLC,1,0.912
"Maruishi Pharmaceutical Co., Ltd",1,0.911
SWIFT ENERGY CO,3,0.911
Distribution Partners,1,0.909
Rgene Corporation,2,0.906
Thrombogenics,2,0.896
"Uno Healthcare, Inc",1,0.893
General Services Administration,1,0.891
Fred Meyer,1,0.889
"Hubei Toutiao Technology Co., Ltd.",1,0.889
CBOL Corporation,2,0.885
"Open Biosystems, Inc.",3,0.883
"DNR Oil & Gas, Inc.",1,0.878
TLE Pte Ltd,1,0.878
GEA Westfalia,1,0.877
GENERAL CHEMICAL CORP,1,0.875
Zenith Steel Group Corporation,1,0.873
Janssen Pharmaceutical,3,0.871
Baxter Healthcare Inc,1,0.871
"US BioMax, Inc.",2,0.866
"Chengdu Innorev Industrial Co., Ltd",1,0.862
Centers for Disease Control and Prevention,2,0.861
Merck Sharp & Dohme Research Ltd,1,0.857
Marengo Cannabis LLC,1,0.854
Shanghai Fosun Pharmaceutical Industrial Developm,3,0.853
Holly Frontier Refining & Marketing LLC,2,0.847
St. Joseph Hospice,1,0.832
AMMO Inc,1,0.832
D&H Distributing,1,0.83
Shenzhen yixiang technology co. LTD,1,0.83
Bosti Trading Ltd.,1,0.828
Meggitt PLC,1,0.823
"Lippert Components, Inc",1,0.822
GC Cell Corporation,2,0.82
"Chongqing Dunshilan Technology Co., Ltd.",1,0.818
U.S. Department of Interior,1,0.818
Lumoxiti,1,0.817
Rangeview Metropolitan District,2,0.8089999999999999
Arcturus Inc,1,0.804
Jetro Cash & Carry,1,0.804
ITI Corp/OH,1,0.8
Tristar Risk Management,1,0.796
CARB-X,1,0.795
"Exotech bio, inc.",4,0.792
NAMALU LLC,1,0.79
Park 'N Fly,3,0.79
Zoove Cooperation,1,0.79
Crown Castle International Corp,1,0.789
Inspire Brands,1,0.785
Rohto Pharmaceutical Co Ltd,1,0.781
Dementia Discovery Fund,2,0.777
"Cardinal Health 200, Inc",6,0.776
Richsound Research Ltd.,1,0.775
"Carlstar Group, LLC",1,0.771
GlaxoSmithKline Biologicals S.A,1,0.771
"Enlink Gas Marketing, LTD",1,0.765
Huaya,1,0.762
Flash Global Logistics,1,0.756
"CMIC Co., Ltd",1,0.755
Finance & services,2,0.753
Kyongbo Pharmaceutical Co Ltd,1,0.75
Purdue Pharma,2,0.75
Workers compensation,1,0.75
JX Nippon Oil & Gas Exploration Corp.,1,0.748
Hip Tung Cables Company Limited,3,0.747
Kansas City Southern Railway Co,2,0.741
Enel Green Power SPA,1,0.74
People's Association at OneTampinesHub,1,0.734
"Gaoyou Zhujia Household Garbage Process Co., Ltd",1,0.732
ELITech group,1,0.731
Exelus,2,0.7290000000000001
Sorouh Agricultural Company,1,0.728
"Nexen Marketing USA, Inc.",1,0.722
The Vitamin Shoppe,1,0.72
BLUE SKY RESOURCES LTD,1,0.72
Fast Steel Construction Pte Ltd,1,0.717
Biosciences,2,0.716
Merrill Corporation,3,0.716
Holly / Navajo Refining,1,0.713
"PENTAX Europe, GmbH",3,0.708
Lee's Pharmaceutical (HK) Ltd,4,0.701
NTT Communications Corporation,1,0.699
Suzhou Zhonghe Solid Waste Recovery Processing Co.,1,0.691
Covance Cru inc.,1,0.69
ResearchDX Inc.,2,0.6890000000000001
"King Life Biotech Co., LTD",1,0.688
IM Operating LLC,4,0.688
Singh Semiconductors and Systems,1,0.687
Origin Energy Resources,1,0.685
"OXY USA, Inc.",8,0.683
Ginkgo Bioworks,1,0.681
As One Corp,1,0.679
Lotus International PTE Ltd,1,0.675
"Lianlian Industry Co., Ltd.",1,0.673
Hong Kong Aircraft Engineering Co Ltd,1,0.669
Quxian Qucheng Science and Technology Development,1,0.666
Saint Gobain Shared Services Corp,1,0.658
Chongqing Longjinyun Enterprise Management Partner,1,0.656
"OBI Pharma, Inc.",2,0.651
Via Technologies Inc,1,0.65
Empire Pipeline Corp.,9,0.646
Midland Financial Co.,2,0.644
Avis Rent A Car,1,0.643
Qualcomm MEMS Technologies,1,0.642
William Liew,1,0.642
Specialties Commodities Incorporated,1,0.642
"ETC Texas Pipeline, Ltd.",4,0.641
"Shenzhen Cailian Hengtai Technology Co.,Ltd.",1,0.638
Yuen How Wai,1,0.638
"Stone Park Entertainment, Inc",5,0.637
"subVO, LLC",1,0.633
"G&W Laboratories, Inc.",2,0.631
Safeway PLC,13,0.63
Philips Medical Systems Nederland B.V.,1,0.63
HotPack Global Inc.,2,0.628
Georgia Pacific,1,0.624
Lobo Group Limited,1,0.62
"Qingdao Leibo Sport Culture Co., Ltd",2,0.617
NTS Development Co,2,0.613
Ashley Furniture,1,0.612
Semiconductor Industry,4,0.607
"Tianjin Tianjia Lide Digital Technology Co., Ltd",1,0.606
Sterling Jewelers Inc,2,0.603
Wholesale (Dealer/distributors and large end-users,1,0.603
"BioStructures, LLC",3,0.603
39 Customers,2,0.603
HwaCom Systems Inc,1,0.602
Hartford Fire Insurance Co.,1,0.601
European Wellness Biomedical Group,1,0.6
Vista Color,1,0.6
"ImmunoForge Co., Ltd.",1,0.6
Gebro Holding,1,0.6
"Elanco, Inc",2,0.599
Furuno Electric Co Ltd,1,0.596
Charles Schwab,3,0.594
Sustainable Environmental Enterprises,1,0.594
Hefei HuaHeng Electronic Technology Co. Ltd.,1,0.594
"Bayer Yakuhin, Ltd.",4,0.589
Outside Australia,7,0.589
"Teck American, Inc.",2,0.5880000000000001
Perrigo and RedHill,1,0.587
"Suzhou Aixi Health Technology Co., Ltd",1,0.587
Branded Retail Store,2,0.587
Ceva Sante Animale S.A.,6,0.581
Compass Insurance,2,0.58
STEMCELL Technologies,3,0.579
Pro-Link,2,0.577
Domestic sales,1,0.575
Northeast Gas Association,1,0.567
Anshan Iron & Steel Group,1,0.566
Durable Mix Sdn Bhd,1,0.564
Abu Dhabi,1,0.56
Enervest Energy and Oil Sands Total Return Fund,2,0.5569999999999999
"Panzhihua GangCheng Group Co., Ltd.",1,0.556
"Energia Vehicular Limpia S.A.,",2,0.556
DistributionNow,1,0.556
Partnership,1,0.555
IOT Solution Limited,2,0.554
Hunan Huanan Photoelectricity Science & Technology,1,0.551
Pro King International Warehouse Limited,1,0.551
Nordstrom,4,0.55
GAD eG,1,0.543
"Jiangxi Muhe Business Services Co., Ltd. (Muhe)",1,0.541
Whale Management Corporation,1,0.538
"Pehler & Associates, LLC",1,0.537
Renaissance Offshore LLC,3,0.537
"The Wilks Group, Inc.",1,0.536
Serena Software Inc.,1,0.535
Barrett Oil Purchasing and Sunoco,1,0.532
US Defense Department,3,0.531
YONEX CO LTD,1,0.521
Riceland Petroleum Company,3,0.519
BASF Beauty Care Solutions L.L.C,1,0.517
"AUG Therapeutics, LLC",1,0.516
Bloomingdales,2,0.513
Fubon Commercial Bank,1,0.513
TBG Xiamen,1,0.507
"Innophos, Inc.",3,0.505
Uniface,1,0.505
Medison Co Ltd,1,0.502
Alcatel  -ADS,1,0.501
JTC Corporation,1,0.501
Ceva Logistics AG,1,0.501
"MiNA Therapeutics, Ltd.",1,0.5
"HF International Holdings Co.,Ltd",1,0.5
Merck Animal Health,2,0.5
Ammtek Ltd,1,0.5
"Bluejay Therapeutics,Inc",1,0.5
Commercial Sales,1,0.5
"Healx, Ltd",1,0.5
ReNeuron Ltd.,1,0.5
Transcenta Holding Ltd,1,0.5
Life Technologies Inc,2,0.5
"Fosun Pharmaceutical Industrial Development Co., L",2,0.5
University of Phoenix,1,0.5
Eyebiotech Limited,1,0.5
T-Bowl Inc.,2,0.497
InMotion,1,0.496
TelePacific Communications,3,0.495
CB2,9,0.494
VIDEOCON INDUSTRIES LTD,1,0.492
Ridgeview Youth Services Center,3,0.489
Global shipping and logistics company,1,0.488
Morocco,2,0.488
HBI International,1,0.487
Medicare for DetermaRx,1,0.486
Western Wellness Solutions LLC,1,0.485
Tekmira Pharmaceuticals Corp,2,0.485
Hylabs Ltd,1,0.482
Wheego Electric Cars,1,0.48
Covad Communications Group Inc,3,0.48
"Danella Construction Corp. of FL, Inc",1,0.478
The Michael J. Fox Foundation,1,0.477
"Hangzhou Daoxian Technology Co.,Ltd",1,0.474
Debiopharm S.A.,1,0.47
Greg & Greg Inc,1,0.47
Peaceman Cable Engineering Limited,2,0.469
"Tiburon, Inc",2,0.468
IKOL Resources Sdn Bhd,1,0.467
JKB Financial,5,0.46699999999999997
"Targa Midstream Services, LLC",1,0.465
Shenzhen Taitao Electronic Technology Co. Ltd,1,0.464
Pharmaceutical Distributors,1,0.463
ApolloBio Corporation,2,0.46299999999999997
Atlas America LLC,1,0.461
"Big M, Inc.",1,0.459
State Farm Insurance,1,0.452
Jubilant Biosys Limited,5,0.446
"Tampa Food & Entertainment, Inc.",5,0.445
Enterprise Crude Oil,1,0.444
Polaris Industries Inc,1,0.442
"Xiamen Toutiao Information Technology Co., Ltd.",1,0.44
"Hebei Yuanfa Pharmaceutical Co,Ltd",1,0.44
Sui Northern Gas Pipelines Ltd,1,0.438
"FormFast, Inc",1,0.438
"Targa Midstream Service, LIM",1,0.436
Engro Fertilizers Limited,1,0.436
Vista Clinical Lab,3,0.436
Neovacs SA,4,0.429
CML Exploration,2,0.42899999999999994
United Fashions Holdings,1,0.428
Xiaomi Technology Co. Ltd.,5,0.425
Firestone Tire & Rubber Co,4,0.412
Foreign Distributors,5,0.412
River Oaks Industries,2,0.41100000000000003
"National Coffee Roasters, LLC",1,0.41
International Stem Cell Corp,2,0.40900000000000003
Ditan/Synergex,1,0.409
Bethel-Webcor JV-1,1,0.408
Other distribution channels,1,0.407
Sun Trust Bank,1,0.405
"Venture Global CP Express, LLC",1,0.404
Plastic Logic GmbH,1,0.402
Shanxi China Mobil Ltd.,1,0.4
Aruba,1,0.4
Syncona Portfolio Limited,1,0.4
Takara Bio Inc,1,0.4
ManRos Therapeutics SA,2,0.4
Laurel Venture Capital Ltd,1,0.4
